,Location,Average Salary by Location ($CLP),Occupation,Average Salary for Each Occupation by Location($CLP),Average National Salary for Each Occupation ($CLP)
765,"Bristol (Outside New Bedford City) & Plymouth (South) Counties PUMA, MA",93853795.64503904,Mechanical engineers,1270058868.9056604,157560862.9943854
766,"Saratoga Springs, Payson & Lehi (Southwest) Cities PUMA, UT",93795401.78816077,Chief executives & legislators,490137811.0434783,285675917.3191395
767,"Natrona, Carbon & Converse Counties PUMA, WY",93722127.44264728,Surgeons,1018095638.782007,571660495.1726127
768,"Chino & Chino Hills Cities PUMA, CA",93716738.11965118,Industrial production managers,558340269.8543047,156312696.47488225
769,"Corona (Northwest) & Norco Cities PUMA, CA",93697270.83561985,Other financial clerks,1157392408.6451612,154601498.81592458
770,"Clovis City PUMA, CA",93685463.92363784,Insurance sales agents,450666085.3043477,108894176.09057176
771,"Macomb County (North) PUMA, MI",93632302.97775708,Industrial & refractory machinery mechanics,874701870.9109948,89240647.74725781
772,"Far Southeast New Mexico PUMA, NM",93536520.50015357,Project management specialists,706726370.1021898,173582267.295105
773,"Burien, SeaTac, Tukwila Cities & White Center PUMA, WA",93536010.61366336,Real estate brokers & sales agents,422316206.7272727,86949545.40354295
774,"Vancouver City (West & Central) PUMA, WA",93509338.66172493,Sheet metal workers,1067259258.3225807,72595416.73806903
775,"Westfield & Holyoke Cities PUMA, MA",93492883.45321025,Environmental engineers,1270058918.8965516,145490838.02129853
776,"New London County (North) PUMA, CT",93462970.53739755,Physicians,430181264.2204724,418213885.2623563
777,"Sacramento City (Central/Downtown & Midtown) PUMA, CA",93448124.38357037,Physician assistants,1157392388.7457626,186531725.38923976
778,"Layton, Clearfield, Kaysville, Syracuse & Clinton Cities PUMA, UT",93429228.96679054,Dentists,860362506.5882353,258225172.68799314
779,"Denton City (Outer) PUMA, TX",93373325.35342504,Chiropractors,639126447.0588235,119155080.62719586
780,"Beaverton City (West) & Aloha PUMA, OR",93371811.85821804,Surgeons,835780688.8695652,571660495.1726127
781,"Disney-International Drive Region PUMA, FL",93370860.46028815,Dentists,584942215.3435583,258225172.68799314
782,"North of I-30 PUMA, TX (79500US4802509)",93361933.53455114,Dishwashers,699315471.9053254,18368757.918286555
783,"Outer Cape Cod Towns PUMA, MA",93348956.47842209,Personal financial advisors,1270058861.15625,224327492.92839324
784,"Bismarck City PUMA, ND",93329587.35884969,Home health aides,823489814.7969924,36092229.28446334
785,"James City, York Counties, Williamsburg & Poquoson Cities PUMA, VA",93321571.5341199,Physicians,452224055.14285725,418213885.2623563
786,"North Little Rock, Sherwood & Jacksonville Cities PUMA, AR",93309630.43866092,Veterinarians,864459491.6202532,171603331.8240765
787,"Palmdale City PUMA, CA",93302684.79896131,Marketing managers,1157392414.8571427,170966876.03049782
788,"Moore & Montgomery Counties PUMA, NC",93206007.05013615,Dentists,846023138.1386138,258225172.68799314
789,"Hanover, Powhatan, Goochland, New Kent, King William & Charles City Counties PUMA, VA",93168264.60701661,Construction & building inspectors,1024241085.3818182,87205280.19948407
790,"Auburn City & Lakeland PUMA, WA",93160943.37981072,Insurance sales agents,614544640.1999999,108894176.09057176
791,"Outagamie County PUMA, WI",93146648.3006486,Dentists,899283679.8881118,258225172.68799314
792,"Galt, Isleton Cities & Delta Region PUMA, CA",93125989.91036554,Physicians,512120542.0677966,418213885.2623563
793,"Paradise (South) & Enterprise PUMA, NV",93109423.70361476,Magnetic resonance imaging technologists,944350241.2941177,203515513.71080974
794,"Rockwall, Greenville & Dallas (Far Northeast) Cities PUMA, TX",93085476.59573986,Cardiovascular technologists and technicians,958689680.5,155301057.0999721
795,"Sherburne & Benton Counties PUMA, MN",93080709.94619752,Physicians,997610794.3225807,418213885.2623563
796,"Windsor Town, Healdsburg & Sonoma Cities PUMA, CA",93063774.5402458,Physicians,652244649.0938897,418213885.2623563
797,"Sandy (North), Cottonwood Heights & Midvale Cities PUMA, UT",93052533.08158347,Aircraft pilots & flight engineers,860362502.0571429,233771261.06901407
798,"Downriver Area (South) PUMA, MI",93024375.94065303,Training & development managers,368726766.36585367,133557547.98485401
799,"Ottawa County (East) PUMA, MI",93015674.815961,Civil engineers,660652959.7269624,158104345.4689587
800,"Schaumburg Township (South & Central) PUMA, IL",93014679.67401402,"Lawyers, & judges, magistrates, & other judicial workers",368666187.05325454,251695543.47547695
801,"Perris City, Temescal Valley & Mead Valley PUMA, CA",93005509.89301428,Crane & tower operators,1157392423.8139534,105461525.44193414
802,"Waukesha County (Central) PUMA, WI",92933555.32959908,Actuaries,551522594.0487804,265049587.04010835
803,"St. Johns County (North) PUMA, FL",92896328.74982157,Physicians,563491192.203871,418213885.2623563
804,"South of Aldine & Inside Beltway TX-8 PUMA, TX",92890336.94964823,Physicians,958689630.624,418213885.2623563
805,"San Diego City (Southwest/Central Coastal) PUMA, CA",92854196.75397794,Physicians,591336134.9970874,418213885.2623563
806,"Gwinnett County (East) PUMA, GA",92833962.82591522,Firstline supervisors of fire fighting & prevention workers,460908506.1081081,159931421.3615573
807,"Miramar (West) & Pembroke Pines (Southwest) Cities PUMA, FL",92811938.8341252,Physicians,394346020.1988951,418213885.2623563
808,"Bartlett (North & East) & Millington Cities PUMA, TN",92811761.83868003,Aircraft pilots & flight engineers,901332181.1282052,233771261.06901407
809,"Catonsville, Woodlawn & Arbutus PUMA, MD",92781298.96857448,"Medical scientists, & life scientists, all other",518265993.2857143,161714428.60932094
810,"St. Louis County (Inner Ring South) PUMA, MO",92770901.26981667,Actuaries,852168553.2413793,265049587.04010835
811,"LA City (Central/West Adams & Baldwin Hills) PUMA, CA",92754840.0639158,Magnetic resonance imaging technologists,1157392458.2535212,203515513.71080974
812,"Lancaster City PUMA, CA",92753275.58500507,Industrial production managers,823107138.7252747,156312696.47488225
813,"Portland City (North & Northeast) PUMA, OR",92739852.34128566,Music directors and composers,491635737.80487806,69234247.62803745
814,"Central Oahu PUMA, HI",92728685.58885123,Credit counselors & loan officers,825538328.8421053,137235832.17932606
815,"Avon, Avon Lake & North Ridgeville Cities PUMA, OH",92727380.13802914,Public relations and fundraising managers,884944297.5882354,150853998.50042796
816,"Kennewick & Richland (South) Cities PUMA, WA",92723827.17209817,Physicians,917219473.9219712,418213885.2623563
817,"Chatham County (East & Outside Savannah City) PUMA, GA",92672786.92849012,Surgeons,964835065.7419356,571660495.1726127
818,"Santa Rosa City PUMA, CA",92649762.68226409,Chief executives & legislators,666064731.9473684,285675917.3191395
819,"Brooklyn Park, Maple Grove (East) & Osseo Cities PUMA, MN",92640791.66135845,Chief executives & legislators,585592924.1993047,285675917.3191395
820,"Lynn City, Swampscott & Nahant Towns PUMA, MA",92607933.27847736,Chief executives & legislators,572206059.8949881,285675917.3191395
821,"Montgomery County (Northeast)Conroe City (East) PUMA, TX",92552850.74785456,Aircraft pilots & flight engineers,958689664.8097166,233771261.06901407
822,"Hershey PUMA, PA",92551351.28017652,Reservation & transportation ticket agents & travel clerks,995562373.3584906,68162467.1715784
823,"Lakewood City (South) & Dakota Ridge PUMA, CO",92515831.03889112,Compensation & benefits managers,1020144077.1199999,159691261.37330705
824,"San Antonio City (North), Hollywood Park Town & Shavano Park City PUMA, TX",92474526.17857823,"Transportation, storage, & distribution managers",958689676.3902439,108572686.59123921
825,"Eastlake, Wickliffe, Willoughby & Willowick Cities PUMA, OH",92407678.7016321,Physicians,884944283.4285713,418213885.2623563
826,"Allen County (Outside Fort Wayne City) PUMA, IN",92403537.33712101,Magnetic resonance imaging technologists,843974647.8095237,203515513.71080974
827,"Denver City (Northeast) PUMA, CO",92387428.54112199,"Securities, commodities, & financial services sales agents",594329842.2545456,235476111.74532747
828,"Henry County (North)Stockbridge City PUMA, GA",92361814.87674534,Magnetic resonance imaging technologists,512120544.2553191,203515513.71080974
829,"Coweta County PUMA, GA",92333609.41181773,Other financial clerks,640257348.4375,154601498.81592458
830,"Liberty & Chambers Counties PUMA, TX",92308746.88371232,Transportation inspectors,958689646.8000001,100405213.35401677
831,"Phoenix City (Uptown) PUMA, AZ",92296311.73507756,Electrical & electronics engineers,843974667.3149172,175462806.86990792
832,"LA City (Northeast/Sunland, Sun Valley & Tujunga) PUMA, CA",92274601.92409022,"Production, planning, & expediting clerks",1157392395.6000001,87877993.96887249
833,"San Diego City (Central/Mira Mesa & University Heights) PUMA, CA",92260700.47357753,Photographic process workers & processing machine operators,614544601.9459459,62612916.08523945
834,"Santa Cruz City PUMA, CA",92247482.58172454,Financial analysts,896102022.5744681,201459377.03718996
835,"San Marcos & Escondido (West) Cities PUMA, CA",92221999.76219608,"Lawyers, & judges, magistrates, & other judicial workers",715841762.9514563,251695543.47547695
836,"Alachua County (Outer) PUMA, FL",92219616.20430687,Sales engineers,975077536.8461539,219954122.53236544
837,"Hendricks County PUMA, IN",92219578.64101148,Heavy vehicle & mobile equipment service technicians & mechanics,681315337.9037199,90450817.10039307
838,"Hemet City & East Hemet PUMA, CA",92210622.72094905,Diagnostic medical sonographers,1157392437.8507462,149349949.37101868
839,"Columbus (North), Westerville & Worthington Cities PUMA, OH",92210560.46154448,Aircraft pilots & flight engineers,884944270.3728813,233771261.06901407
840,"Ankeny & Altoona Cities PUMA, IA",92197130.33310643,Insurance sales agents,827586766.2111801,108894176.09057176
841,"Moanalua to Pearl City PUMA, HI",92191768.00924832,Computer systems analysts,392473282.0776699,156173731.87500918
842,"Davis, Woodland & West Sacramento Cities PUMA, CA",92174301.85429558,Aircraft pilots & flight engineers,751466227.214724,233771261.06901407
843,"Brooklyn Center, Golden Valley, New Hope & Robbinsdale Cities PUMA, MN",92172910.92083403,Physicians,743034857.3900186,418213885.2623563
844,"Kent CountyWarwick City PUMA, RI",92136255.46705818,Surgeons,439570126.39285725,571660495.1726127
845,"East of I-35W & West of US-377 PUMA, TX",91996878.73299596,Aircraft pilots & flight engineers,563298061.1999999,233771261.06901407
846,"LA City (North Central/Granada Hills & Sylmar) PUMA, CA",91963056.78709646,"Architects, except landscape and naval",524411438.1081081,157537300.90291384
847,"Hillsboro City PUMA, OR",91925591.31330103,Financial managers,590477292.1643836,186102768.20035145
848,"Portland, South Portland & Westbrook Cities PUMA, ME",91911438.59089053,Chemical engineers,729259612.4444445,193520353.50678676
849,"Medina County PUMA, OH",91882077.34064585,Personal financial advisors,546294542.0420649,224327492.92839324
850,"Oklahoma City (Central) PUMA, OK",91864189.37286888,Chief executives & legislators,846023159.76,285675917.3191395
851,"Bainbridge Island City & Silverdale PUMA, WA",91839007.82383019,Aircraft pilots & flight engineers,363796993.6524591,233771261.06901407
852,"Randall CountyAmarillo City (South) PUMA, TX",91818752.96611366,Dentists,958689670.5882354,258225172.68799314
853,"Lincoln City (South) PUMA, NE",91813861.57325403,Medical & health services managers,880847350.0273973,150928545.6935578
854,"Lewisville City PUMA, TX",91699198.62290257,"Petroleum, mining & geological engineers, including mining safety engineers",532605341.6629213,246614991.21165854
855,"Lafayette Parish (South) PUMA, LA",91680638.03587858,Firstline supervisors of housekeeping & janitorial workers,389211622.84210527,61544558.4797726
856,"Collier County (Northwest) PUMA, FL",91603496.21146935,Purchasing managers,975077510.1492536,149654481.25975567
857,"Cecil County PUMA, MD",91595968.38174284,Physicians,763189948.1999999,418213885.2623563
858,"Santa Maria City & Orcutt PUMA, CA",91573101.08566678,Physicians,528197231.54430395,418213885.2623563
859,"Mack & Dent PUMA, OH",91571006.02117476,Magnetic resonance imaging technologists,884944272.3453237,203515513.71080974
860,"Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities PUMA, AZ",91562327.1842725,Industrial production managers,843974638.4727273,156312696.47488225
861,"Portage County PUMA, OH",91545618.24653158,Market research analysts & marketing specialists,884944302.6857142,136965985.46571857
862,"Damascus City PUMA, OR",91544870.45679162,Logging workers,835780688.8695652,41552000.45283763
863,"Comal County PUMA, TX",91544306.97092496,Civil engineers,958689663.8873239,158104345.4689587
864,"Cobb County (Central)Marietta City PUMA, GA",91444032.39434274,Public relations specialists,795883782.9274447,133230474.13072374
865,"St. Louis City (South) PUMA, MO",91421646.44103982,Computer hardware engineers,852168518.1754386,184268510.8665479
866,"Yeadon, Darby, Lansdowne Boroughs & Drexel Hill PUMA, PA",91414558.34276354,"Inspectors, testers, sorters, samplers, & weighers",995562318.8571429,71243022.07302803
867,"Monterey (South & East) & San Benito Counties PUMA, CA",91360339.86452088,Computer hardware engineers,1157392453.3714285,184268510.8665479
868,"Rappahannock-Rapidan Regional Commission PUMA, VA",91340985.94485222,Sales managers,483679038.66101694,215569207.83716124
869,"Columbia & Greene Counties PUMA, NY",91322149.47196075,Social & community service managers,629405166.2968196,109007660.97080216
870,"Thornton & Federal Heights Cities PUMA, CO",91292747.86718112,Sales managers,466658207.1818182,215569207.83716124
871,"Ellis County PUMA, TX",91286179.44377285,"Firstline supervisors of farming, fishing, & forestry workers",958689757.0909089,73845684.2667126
872,"York County (West & Outside Rock Hill City) PUMA, SC",91270225.19934519,Veterinarians,862410975.7132868,171603331.8240765
873,"LA City (North Central/Van Nuys & North Sherman Oaks) PUMA, CA",91246247.72339767,Surgeons,1157392420.875,571660495.1726127
874,"Flatbush & Midwood PUMA, NY",91231079.1180486,"Educational, guidance, and career counselors and advisors",734213012.3389832,85472526.74897332
875,"North of I-635 PUMA, TX",91193717.63653459,Physicians,379982977.92857146,418213885.2623563
876,"Hagerstown City PUMA, MD",91158101.19886419,Physicians,697602707.4923077,418213885.2623563
877,"Martin County PUMA, FL",91076432.51088421,Dentists,975077524.6470588,258225172.68799314
878,"Anaheim City (East) PUMA, CA",90959938.18580729,Chief executives & legislators,789504495.4547511,285675917.3191395
