,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation,Entropy of labor of Each Occupation by location
2328,"Wichita City (Central) PUMA, KS",30047.561199370542,Physicians,253274.24175824173,206831.79290917717,4.890428091037299
31,"Allentown City PUMA, PA",30005.22226155879,Chief executives & legislators,144903.3320261438,141283.83645852594,4.646915846536324
21,"Albuquerque City (Southwest Mesa) & Bernalillo County (Southwest Mesa & South Valley) PUMA, NM",29957.45838957705,Industrial truck & tractor operators,199580.1158129176,28316.51640626329,4.685911651306578
757,"Fremont, Chaffee, Park, Lake, Huerfano, Pueblo (Southwest) & Custer Counties PUMA, CO",29955.569477674257,Computer systems analysts,162095.51388888888,77237.25612018259,4.905477401459022
824,"Grant, Miami & Wabash Counties PUMA, IN",29951.801463873246,Optometrists,417395.9655172414,91038.6455644665,5.074191672111586
2062,"St. Francis, Poinsett, Phillips, Cross, Lee & Monroe Counties PUMA, AR",29947.571364809177,Physicians,427526.94736842107,206831.79290917717,4.779330074797827
414,"Clayton County (North)Forest Park City PUMA, GA",29910.529061512505,Medical & health services managers,121571.64179104478,74643.1976723827,4.9672035432279324
64,"Aroostook & Washington Counties PUMA, ME",29906.40588700894,Physicians,275866.7154150198,206831.79290917717,4.9928608851044505
1871,"Sampson & Duplin Counties PUMA, NC",29890.293724100033,"Architects, except landscape and naval",182357.45098039217,77911.62260282584,4.971726605883541
486,"Conway City & Red Hill PUMA, SC",29838.084212174585,Dentists,243143.2857142857,127707.80053807772,4.867029800327083
1167,"Lake & Mendocino Counties PUMA, CA",29821.908163252974,Urban & regional planners,222881.3448275862,63264.65459091392,4.922892824840686
1084,"Josephine, Coos & Curry Counties PUMA, OR",29791.834665319584,Marketing managers,413343.5588235294,84553.35115257063,4.960349430427822
2324,"Whitney, Sunrise Manor (South) & Paradise (Northeast) PUMA, NV",29790.065294813743,"Lawyers, & judges, magistrates, & other judicial workers",356109.8944099379,124478.50814810928,5.016932090053196
589,"Douglas County PUMA, OR",29786.650663619006,Physicians,201489.5539033457,206831.79290917717,4.8330646674369575
986,"Huntington Park City, Florence-Graham & Walnut Park PUMA, CA",29781.489595513536,"Lawyers, & judges, magistrates, & other judicial workers",163311.23529411765,124478.50814810928,4.918667384329572
1309,"Marion County (North) PUMA, FL",29744.972989514707,Physicians,482234.2,206831.79290917717,4.5135203357131415
947,"Highlands (Northwest), DeSoto & Hardee Counties PUMA, FL",29714.679694711504,"Securities, commodities, & financial services sales agents",287475.9550561798,116457.02855852002,4.872025691080454
643,"Edinburg City PUMA, TX",29703.51122214971,"Lawyers, & judges, magistrates, & other judicial workers",210666.01196172248,124478.50814810928,4.494010130812406
1551,"Northwest Missouri PUMA, MO",29663.949265939555,Financial analysts,193501.56,99633.71762472302,5.215982383003815
2283,"Weslaco & Mercedes Cities PUMA, TX",29638.90292978723,Software developers,197553.92356687895,105223.46968687043,4.611427552508135
633,"Eastern Plains New Mexico PUMA, NM",29508.431056462232,Locomotive engineers & operators,117684.17441860466,69242.97227760029,4.87868607478754
1193,"Las Cruces, Mesilla Cities & University Park PUMA, NM",29480.916412344468,Physician assistants,187422.9361702128,92251.10058815022,4.552354562231558
11,"Alamo & Donna Cities PUMA, TX",29456.192237631392,Firstline supervisors of nonretail sales workers,234439.21126760563,70776.29211066732,4.2815337624903345
293,"Cape Girardeau, Scott & Bollinger Counties PUMA, MO",29445.485480452484,Physicians,263405.2208333333,206831.79290917717,4.92133695420724
948,"Highlands (South & East), Okeechobee, Hendry & Glades Counties PUMA, FL",29441.268256482446,Janitors & building cleaners,230292.1838790932,18652.591724538102,4.688161614062912
9,"Akron City (East) PUMA, OH",29435.5977700611,Electricians,178029.2888888889,43910.58891450851,4.925695056461118
1276,"Lubbock CountyLubbock City (Central) PUMA, TX",29410.88766627652,Physicians,240894.83673469388,206831.79290917717,4.918099977895136
1388,"Milwaukee City (South Central) PUMA, WI",29315.122260199623,Pharmacists,131702.61016949153,88632.34688145593,4.705040185947248
2131,"Tallahassee City (Central) PUMA, FL",29254.53793436822,General & operations managers,191020.1811594203,78932.01272296738,4.9917199674944746
1679,"Pettis, Randolph, Saline, Cooper, Howard, Carroll & Chariton Counties PUMA, MO",29212.51006981095,Physicians,282231.9375,206831.79290917717,5.26196139661435
2020,"Southeast Colorado PUMA, CO",29203.107242125592,Physicians,504522.32,206831.79290917717,4.833632711983981
2366,"Yavapai County PUMA, AZ",29201.6482058108,Cardiovascular technologists and technicians,417395.9674796748,76805.666221549,5.027391744697006
1173,"Lake Cumberland Area Development District (West) PUMA, KY",29178.639893080534,Emergency medical technicians,252713.5707762557,32942.22322574207,4.64659257617879
73,"Athens, Gallia & Meigs Counties PUMA, OH",29153.74809344753,Firstline supervisors of nonretail sales workers,437657.8928571429,70776.29211066732,4.828286962342379
402,"Citrus County PUMA, FL",29150.327108433332,Sales managers,325208.88317757007,106611.873312147,4.559842290364673
1256,"Logan, Mingo, Wyoming & McDowell Counties PUMA, WV",29025.03370958383,Stationary engineers & boiler operators,136768.09333333332,52943.046979418286,4.505980861220011
2279,"Webb CountyLaredo City (Central) PUMA, TX",28901.856245843417,"Lawyers, & judges, magistrates, & other judicial workers",167161.0,124478.50814810928,4.935907851841201
79,"Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA, IL",28896.61814363693,Computer & information systems managers,172226.48453608248,102527.2721576413,4.592254870590564
1037,"Jackson (South), Macon, Cherokee & Clay Counties PUMA, NC",28813.722067049446,Pharmacists,202619.40298507464,88632.34688145593,4.8723791756407495
1331,"McLennan CountyWaco City (Central) PUMA, TX",28804.417944228648,Physicians,474129.4117647059,206831.79290917717,4.769511404942225
1365,"Miami Gardens City (North & West) PUMA, FL",28757.849798150473,Firstline supervisors of police & detectives,101582.04301075268,72515.40418093909,4.769720415953967
1908,"San Juan Municipio (Sur) PUMA, PR",28733.262439368074,"Architects, except landscape and naval",182357.46,77911.62260282584,4.439508985896054
651,"El Paso City (Central) PUMA, TX",28641.446738156763,Other managers,282416.2086956522,81551.87862464933,4.559092174535173
2164,"Toledo City (East) PUMA, OH",28628.00277366508,Chief executives & legislators,275235.5698924731,141283.83645852594,4.855883485989789
509,"Cumberland Valley Area Development District (North) PUMA, KY",28583.465380399724,Sales managers,212750.38095238092,106611.873312147,4.6958525002211235
1223,"Lewiston City & Nez Perce Reservation PUMA, ID",28578.947546737832,Materials engineers,202619.40298507464,75692.34374789787,5.052551729374682
1521,"North of I-20 & West of I-35E PUMA, TX",28499.541845228385,Licensed practical & licensed vocational nurses,106919.89217134417,31387.677482973708,4.84647444298534
2303,"West of Aldine & Inside Beltway TX-8 PUMA, TX",28375.56906525231,Other managers,154289.40462427746,81551.87862464933,4.714435636223557
2162,"Toa Alta & Vega Alta Municipios PUMA, PR",28275.03243794063,Project management specialists,140626.84982935153,85846.81864248517,4.489166469052161
928,"Henderson, Hardeman, McNairy, Hardin, Haywood & Decatur Counties PUMA, TN",28246.361065153298,Project management specialists,141833.61538461538,85846.81864248517,5.06089141246982
672,"Erie City, Lawrence Park Township & Wesleyville Borough PUMA, PA",28234.341494201868,"Derrick, rotary drill, & service unit operators, & roustabouts, oil, gas, & mining",202619.40506329117,59379.22345456758,4.709154521231826
2079,"St. Lucie County (North) PUMA, FL",28190.310026119572,"Farmers, ranchers, & other agricultural managers",142951.4827586207,20768.158865386376,4.724927513478929
2137,"Taney, Barry, Stone & McDonald Counties PUMA, MO",28137.866136648103,Chief executives & legislators,270033.7642857143,141283.83645852594,5.000766672821803
1690,"Philadelphia City (North) PUMA, PA",28132.318556460552,Network and computer systems administrators,131702.60732984293,70080.64245976007,4.647763277770904
1712,"Pima County (West) PUMA, AZ",28129.649962153864,"Petroleum, mining & geological engineers, including mining safety engineers",151964.546875,121965.87102455912,4.76566761759424
2035,"Southwest Oklahoma PUMA, OK",28124.301944876577,Firstline supervisors of nonretail sales workers,135704.65586419753,70776.29211066732,4.804729700068004
1003,"Independence, Cleburne, Van Buren, Sharp, Izard, Stone & Fulton Counties PUMA, AR",28101.950792457803,Nurse anesthetists,427526.9278350516,137847.88905761446,4.81586160226544
274,"Butler, Ripley, Wayne, Madison, Iron, Reynolds & Carter Counties PUMA, MO",27927.25147312812,Sales managers,141833.57352941178,106611.873312147,4.852173025323214
303,"Carr 2 (Noroeste) PUMA, PR",27878.321006230854,Heavy vehicle & mobile equipment service technicians & mechanics,182357.45762711865,44733.34179050102,4.164466252940108
2171,"Topeka City PUMA, KS",27823.06829338277,Cleaners of vehicles & equipment,121302.57505773671,16482.65136833201,4.757333341024995
885,"Halifax, Hertford, Northampton & Warren (East) Counties PUMA, NC",27728.653198968987,Construction managers,205200.84615384616,61965.46836887661,4.967679345794721
655,"El Paso City (Southeast) PUMA, TX",27702.0785900022,Computer & information systems managers,192488.4406779661,102527.2721576413,4.821159092069676
122,"Baxter, Boone, Carroll, Marion, Madison, Newton & Searcy Counties PUMA, AR",27660.189308065757,Physicians,427526.945054945,206831.79290917717,4.927039785287796
1113,"Kentucky River Area Development District PUMA, KY",27643.21760000595,Physicians,323190.1385542169,206831.79290917717,4.455980904705396
571,"Detroit City (Northwest) PUMA, MI",27629.4994600376,Chefs & head cooks,143051.52573529413,28945.322882471555,4.540661341940004
1515,"North Miami City (Southwest) & Golden Glades (West) PUMA, FL",27612.276771700934,Aircraft pilots & flight engineers,212750.375,115613.87787785068,4.754763038544633
519,"Dallas City (Southeast) PUMA, TX",27543.714078443423,Dentists,177291.96685082873,127707.80053807772,4.57690298841362
166,"Between Loop I-610 & Beltway TX-8 PUMA, TX (79500US4804608)",27477.109778223523,Chief executives & legislators,271224.25,141283.83645852594,4.538289823656033
943,"Hidalgo County (North & West) PUMA, TX",27273.97580726929,Chief executives & legislators,474129.39130434784,141283.83645852594,4.161539121546828
2034,"Southwest New Mexico PUMA, NM",27205.72888220373,Physicians,349518.4657534247,206831.79290917717,4.479979697561191
2187,"Tucson City (Northwest) PUMA, AZ",27188.233685409505,Personal financial advisors,208962.268115942,110943.36940078795,4.964971570669115
874,"Guaynabo & Cataño Municipios PUMA, PR",27128.06852038005,General & operations managers,182357.447761194,78932.01272296738,4.498173073106731
718,"Florence Town, Eloy (Northeast) & Coolidge Cities PUMA, AZ",27004.15565185335,Aerospace engineers,172226.48611111112,93327.5642780684,4.654685517413142
1829,"Rochester City (West) PUMA, NY",26780.156235492188,Computer & information systems managers,131702.61538461538,102527.2721576413,4.851667118425
2163,"Toa Baja & Dorado Municipios PUMA, PR",26702.626440178366,Economists,182357.46666666667,114682.51872642573,4.552006564740958
299,"Carolina Municipio (Norte) PUMA, PR",26662.839285781618,Dentists,182357.4578313253,127707.80053807772,4.730272681313615
1053,"Jacksonville City (Northwest) PUMA, FL",26592.078586275606,"Power plant operators, distributors, & dispatchers",187422.9333333333,77072.03539917499,4.868280655688922
649,"El Mirage City & Sun City PUMA, AZ",26277.82988111878,Correctional officers and jailers,159157.54090909092,44429.20154510544,4.88528714580567
1019,"Inside Loop I-410 PUMA, TX (79500US4805905)",26251.79792210999,Clergy,352048.19161676645,37242.277296257234,4.690609732744274
1316,"Maryvale (East) PUMA, AZ",26234.340404322316,Nonfarm animal caretakers,261677.07468879668,12892.923146844189,4.6955949004504784
940,"Hialeah City (South Central) PUMA, FL",26105.505873397764,"Transportation, storage, & distribution managers",134899.01604278074,53695.69069794224,4.820173205844099
605,"Dunklin, Stoddard, New Madrid, Pemiscot & Mississippi Counties PUMA, MO",26088.744610522746,Pharmacists,146899.05714285714,88632.34688145593,4.848642070378556
348,"Central Southeast New Mexico PUMA, NM",26067.524656332294,Accountants & auditors,115077.91917293234,62325.81180323831,4.860972232451938
1133,"LA City (Central/Univ. of Southern California & Exposition Park) PUMA, CA",26006.14513463944,Physicians,303929.1,206831.79290917717,4.845490867794328
2014,"South of I-30, East of I-35W & Inside Loop I-820 PUMA, TX",25927.84494823757,Aerospace engineers,151964.55,93327.5642780684,4.771841986530989
126,"Bayamón Municipio (OEste) PUMA, PR",25292.32007727363,Project management specialists,182357.4556962025,85846.81864248517,4.563260027837473
1150,"LA City (Southeast/East Vernon) PUMA, CA",25206.50021017668,"Heating, air conditioning, & refrigeration mechanics & installers",109414.47794117648,38378.79207938513,4.827451265833356
573,"Detroit City (Southwest) PUMA, MI",25201.569523119604,Other designers,182357.4523809524,53254.28081265958,4.386942441311253
1268,"Louisville/Jefferson County (Northwest) PUMA, KY",25050.021746102942,Chief executives & legislators,403212.5797101449,141283.83645852594,4.660760954550047
857,"Greenbrier, Nicholas, Summers, Monroe & Pocahontas Counties PUMA, WV",24782.445413365665,"Computer occupations, all other",147912.15894039735,66101.74828543983,4.698097521240819
1907,"San Juan Municipio (Noroeste) PUMA, PR",24571.080790125387,Interpreters and translators,182357.45132743364,24839.23264750008,4.76161107104217
184,"Birmingham City (West) PUMA, AL",24398.14052769008,"Miscellaneous installation, maintenance, & repair workers, including wind turbine service technicians",396120.9251700681,31240.443433567845,4.343210039946803
2110,"Sumter (North) & Lake (North) Counties PUMA, FL",23984.970300499706,Physicians,201984.15945945945,206831.79290917717,4.901511201189565
716,"Flint City Area PUMA, MI",23660.82075565833,Chief executives & legislators,153990.75,141283.83645852594,4.377546132899349
277,"Caguas Municipio PUMA, PR",23617.895859508397,Firstline supervisors of correctional officers,182357.45306122449,49417.46122027499,4.478377018144673
1020,"Inside Loop I-410 PUMA, TX (79500US4805906)",23160.77913448609,Speechlanguage pathologists,111440.67045454546,50207.30577175528,4.779519506582213
